% function evaluation | noise-free fitness - Fopt (-1.694000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.392738623e+002 +1.392738623e+002 +1.223338623e+002 +1.223338623e+002 +2.3106e+000 -4.2901e+000 -4.3288e+000 +2.6816e+000 -2.7267e+000 +1.6032e+000 +3.0667e+000 -4.7018e+000 +3.1117e+000 +4.4542e+000
2 +6.097123618e+001 +6.097123618e+001 +4.403123618e+001 +4.403123618e+001 -3.4727e+000 +4.1028e+000 +4.9915e+000 +3.9993e-001 +4.7751e+000 -3.4156e+000 +4.9089e-001 -4.0645e+000 -5.6610e-001 -8.7138e-001
5 +2.092196780e+001 +2.092196780e+001 +3.981967799e+000 +3.981967799e+000 +1.1087e-001 -1.6640e-002 -1.6475e+000 -1.8035e+000 +3.4276e+000 -4.4620e+000 +3.9951e+000 +2.3211e+000 +5.8303e-001 -2.8136e+000
53 +1.581102250e+001 +1.581102250e+001 -1.128977502e+000 -1.128977502e+000 +3.6775e+000 +2.7323e+000 -2.9902e+000 -1.9998e+000 +4.0068e+000 -4.5654e+000 -2.7779e+000 +2.5828e+000 +3.5364e+000 -4.6250e+000
362 +9.735017541e+000 +9.735017541e+000 -7.204982459e+000 -7.204982459e+000 +3.6782e+000 -1.3485e+000 +5.3324e-001 +4.6222e-001 +3.1797e+000 -3.1648e+000 +2.5018e+000 -2.3339e+000 +3.4381e+000 -3.1850e+000
800 +5.786066152e+000 +5.786066152e+000 -1.115393385e+001 -1.115393385e+001 +3.5308e+000 +2.6537e+000 -1.5297e+000 +2.9373e+000 +1.0508e+000 -3.1910e+000 +2.7265e+000 -4.2760e+000 -3.3696e+000 -4.8965e-001
2400 +3.935839276e+000 +3.935839276e+000 -1.300416072e+001 -1.300416072e+001 +3.5086e+000 +1.5558e+000 -4.3182e-001 +1.8395e+000 +2.1486e+000 -4.2889e+000 +2.7487e+000 -3.1782e+000 -2.2717e+000 -1.5875e+000
3844 +2.465849595e+000 +2.465849595e+000 -1.447415040e+001 -1.447415040e+001 +3.4964e+000 +1.1711e+000 -3.9380e-001 +1.1325e+000 +1.5023e+000 -2.5350e+000 +3.1215e+000 -2.8216e+000 -1.0296e+000 -2.1910e+000
6546 +1.464193641e+000 +1.464193641e+000 -1.547580636e+001 -1.547580636e+001 +3.7434e+000 +1.5582e+000 -1.1443e+000 +1.9308e+000 +1.4561e+000 -1.7488e+000 +2.9678e+000 -2.0634e+000 -7.3184e-001 -2.3127e+000
7116 +9.862784561e-001 +9.862784561e-001 -1.595372154e+001 -1.595372154e+001 +3.6575e+000 +2.0456e+000 -1.4538e+000 +1.8272e+000 +1.6926e+000 -1.8333e+000 +2.9967e+000 -2.0296e+000 -7.9481e-001 -1.9385e+000
7461 +6.229080003e-001 +6.229080003e-001 -1.631709200e+001 -1.631709200e+001 +3.2468e+000 +2.2274e+000 -1.2775e+000 +1.5822e+000 +1.4471e+000 -1.4703e+000 +3.0607e+000 -2.2194e+000 -4.2557e-001 -2.1253e+000
7884 +3.403312557e-001 +3.403312557e-001 -1.659966874e+001 -1.659966874e+001 +3.3983e+000 +2.5004e+000 -1.2416e+000 +1.6330e+000 +1.2363e+000 -1.5465e+000 +3.1785e+000 -2.2826e+000 -4.6014e-001 -2.1558e+000
