% function evaluation | noise-free fitness - Fopt (-6.211100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.437920085e+008 +2.437920085e+008 +2.437913874e+008 +2.437913874e+008 +2.3088e+000 -8.9919e-001 -2.6903e-001 -1.6728e+000 -3.3747e+000 -4.9388e+000 +4.6370e+000 -5.3542e+000 +3.1923e+000 -1.3070e+000
5 +1.155148859e+008 +1.155148859e+008 +1.155142648e+008 +1.155142648e+008 +4.6887e-002 +7.2892e-001 +3.8991e+000 +1.7816e+000 +9.2379e-001 -2.6374e+000 -3.8016e+000 +1.5248e+000 +4.3088e+000 -2.9326e+000
206 +9.426592426e+007 +9.426592426e+007 +9.426530315e+007 +9.426530315e+007 -1.9593e+000 +6.3695e+000 +2.3567e+000 -2.6112e+000 +6.2137e+000 +1.5863e+000 +1.1449e+000 +5.1661e+000 +4.7810e+000 -5.3777e-002
360 +6.111348680e+007 +6.111348680e+007 +6.111286569e+007 +6.111286569e+007 +1.5902e+000 +7.2892e-001 +3.1742e+000 -9.3736e+000 -3.1164e+000 -2.5196e+000 +7.0583e-001 -1.1435e+000 -1.7171e+000 +4.8017e-001
417 +2.220094983e+007 +2.220094983e+007 +2.220032872e+007 +2.220032872e+007 -1.9565e+000 +5.9692e+000 -2.6825e+000 -3.8827e+000 +5.7470e+000 +2.0823e+000 -2.4740e+000 +3.2402e-001 +6.3552e+000 -5.4125e-001
1550 +1.203028980e+007 +1.203028980e+007 +1.202966869e+007 +1.202966869e+007 -7.6109e-001 +2.6086e+000 -3.6806e-001 -5.4112e+000 -4.8751e-001 -6.7963e-001 +5.5570e-001 -1.8582e+000 +4.8362e-001 +4.8017e-001
1870 +7.256528273e+006 +7.256528273e+006 +7.255907163e+006 +7.255907163e+006 -1.3715e+000 +2.6086e+000 -3.6806e-001 -4.7905e+000 -4.8751e-001 -2.5196e+000 +5.5570e-001 -1.8582e+000 +4.8362e-001 +4.8017e-001
2025 +5.037724955e+006 +5.037724955e+006 +5.037103845e+006 +5.037103845e+006 -1.2428e+000 +2.4576e+000 -4.2932e-001 -4.1204e+000 -9.6300e-001 -2.1414e+000 +2.1733e+000 -1.9359e+000 +1.1627e+000 -5.2666e-001
2619 +3.163463724e+006 +3.163463724e+006 +3.162842614e+006 +3.162842614e+006 -1.7883e-001 +3.4619e+000 -4.2683e-001 -2.6498e+000 +1.0463e+000 -1.6924e+000 +1.0173e+000 -4.5374e-001 +5.4128e-001 -5.2666e-001
3042 +2.027663624e+006 +2.027663624e+006 +2.027042514e+006 +2.027042514e+006 -8.9256e-001 +3.7640e+000 +4.7452e-001 -3.4209e+000 +1.0463e+000 -1.6216e+000 +1.0173e+000 +9.9916e-002 +1.7422e+000 -5.2666e-001
3590 +1.435294410e+006 +1.435294410e+006 +1.434673300e+006 +1.434673300e+006 -1.9565e+000 +3.7640e+000 -3.4372e+000 -4.6012e-001 +7.0823e+000 +2.3657e+000 -1.9492e-001 -1.5187e+000 +5.8608e+000 -5.8772e-001
3855 +9.002500966e+005 +9.002500966e+005 +8.996289866e+005 +8.996289866e+005 -8.7757e-001 +4.4135e+000 -1.5760e-001 -3.2484e+000 -9.6300e-001 -2.2840e+000 +1.1037e+000 -7.8368e-001 +9.3621e-001 -5.2666e-001
4148 +5.656604163e+005 +5.656604163e+005 +5.650393063e+005 +5.650393063e+005 -1.2578e+000 +3.7640e+000 -8.7517e-001 -3.6942e+000 +1.0463e+000 -1.8350e+000 +1.1037e+000 -5.8001e-001 +1.2470e+000 -4.6559e-001
